DATE,FPCPITOTLZGUSA
1975-01-01,0
1976-01-01,5.74481263549085
1977-01-01,6.5016839947284
1978-01-01,7.63096383885606
1979-01-01,11.2544711292795
1980-01-01,13.5492019749684
1981-01-01,10.3347153402771
1982-01-01,6.13142700027493
1983-01-01,3.21243523316065
1984-01-01,4.30053547523429
1985-01-01,3.54564415209365
1986-01-01,1.89804772234276
1987-01-01,3.6645632175169
1988-01-01,4.07774110744413
1989-01-01,4.82700303008944
1990-01-01,5.39795643990325
1991-01-01,4.23496396453849
1992-01-01,3.02881967814969
1993-01-01,2.95165696638559
1994-01-01,2.60744159215453
1995-01-01,2.80541968853662
1996-01-01,2.93120419993441
1997-01-01,2.33768993730735
1998-01-01,1.55227909874364
1999-01-01,2.18802719697358
2000-01-01,3.37685727149929
2001-01-01,2.82617111885407
2002-01-01,1.58603162650601
2003-01-01,2.27009497336115
2004-01-01,2.67723669309172
2005-01-01,3.3927468454955
2006-01-01,3.22594410070404
2007-01-01,2.85267248150138
2008-01-01,3.839100296651
2009-01-01,-0.355546266299747
2010-01-01,1.6400434423899
2011-01-01,3.156841568622
2012-01-01,2.06933726526067
2013-01-01,1.46483265562717
2014-01-01,1.62222297740817
2015-01-01,0.118627135552451
2016-01-01,1.26158320570536
2017-01-01,2.13011000365961
2018-01-01,2.44258329692817
2019-01-01,1.81221007526021
2020-01-01,1.23358439630629
2021-01-01,4.69785886363742
2022-01-01,8.00279982052121
